7285 16.7
7275 13
7265 7.4
7255 3
7245 1.5
7235 4.5
7225 8.5
7215 7.8
7205 7.1
7195 10.8
7185 13.4
7175 13.5
7165 8.2
7155 1
7145 2.9
7135 13.9
7125 28.3
7115 37.4
7105 30.5
7095 18.2
7085 18.1
7075 27.1
7065 34.2
7055 36.4
7045 34.6
7035 28.6
7025 21.8
7015 18.2
7005 16.1
6995 15.2
6985 16.7
6975 20.4
6965 24.3
6955 23.4
6945 20.7
6935 22.7
6925 26.9
6915 27.2
6905 23.6
6895 19.5
6885 18.9
6875 20.6
6865 18.5
6855 15.7
6845 20.6
6835 32.6
6825 45
6815 41.2
6805 23.6
6795 15.3
6785 19
6775 29.4
6765 30.8
6755 21.3
6745 17.9
6735 15.1
6725 9.4
6715 12.9
6705 28.1
6695 37.1
6685 29.1
6675 18.6
6665 13.6
6655 14.5
6645 14.6
6635 12.4
6625 13.5
6615 17.6
6605 22
6595 27.9
6585 33.6
6575 30.4
6565 24.9
6555 24.5
6545 25.2
6535 26.6
6525 30.9
6515 33.5
6505 27.3
6495 20.2
6485 20.2
6475 23.6
6465 26.6
6455 24.3
6445 19.6
6435 23.3
6425 29.1
6415 21
6405 9.6
6395 8.1
6385 14.7
6375 27.7
6365 35.4
6355 29
6345 26.5
6335 32.7
6325 32.6
6315 22.4
6305 13.5
6295 7.5
6285 2
6275 -0.5
6265 2.6
6255 10.7
6245 20.6
6235 29.5
6225 34
6215 27.7
6205 16.3
6195 12.5
6185 10.5
6175 2.1
6165 0.1
6155 13.6
6145 31.6
6135 39.7
6125 31.9
6115 19.8
6105 17.5
6095 20.4
6085 27
6075 38.7
6065 40.1
6055 36.9
6045 41.6
6035 43.1
6025 42.3
6015 43.1
6005 31.5
5995 14.6
5985 13.1
5975 26.9
5965 37.8
5955 32.1
5945 23.2
5935 17.3
5925 12.1
5915 7.9
5905 5.8
5895 4.9
5885 5.9
5875 9.4
5865 11.6
5855 12.1
5845 15
5835 23.8
5825 33.8
5815 38.3
5805 41.1
5795 44
5785 44.7
5775 41.1
5765 33.4
5755 23.9
5745 17.8
5735 17.1
5725 17.6
5715 18.1
5705 20.9
5695 25.9
5685 30.6
5675 31.6
5665 24.6
5655 16.7
5645 17.3
5635 23.8
5625 26.9
5615 21.4
5605 12
5595 2.3
5585 -4.4
5575 -4.7
5565 0.9
5555 9.1
5545 16.8
5535 23.6
5525 28
5515 33.4
5505 38.3
5495 31.1
5485 19.6
5475 12.9
5465 9
5455 5.5
5445 3.1
5435 6.5
5425 16.4
5415 26.8
5405 31.1
5395 33.1
5385 39.9
5375 47.1
5365 50.4
5355 53.2
5345 48.3
5335 30.1
5325 13.2
5315 5.6
5305 3.2
5295 2.3
5285 2.7
5275 4.8
5265 7.7
5255 10.5
5245 13.9
5235 17.1
5225 18.3
5215 17.3
5205 19.2
5195 28
5185 37.6
5175 44.5
5165 52.6
5155 53.4
5145 43.8
5135 35.4
5125 33.8
5115 44.8
5105 62.2
5095 61.8
5085 50.2
5075 43.5
5065 38.8
5055 30.1
5045 21
5035 19.3
5025 27.2
5015 40.4
5005 46.4
4995 42.2
4985 34.1
4975 26.1
4965 23.3
4955 26.6
4945 34.2
4935 43.1
4925 46.7
4915 46.2
4905 49.9
4895 53.4
4885 46.1
4875 31.4
4865 21.4
4855 18.2
4845 14
4835 6.4
4825 1.3
4815 0.5
4805 2.3
4795 4.4
4785 6.8
4775 16.6
4765 36.6
4755 51.8
4745 47.8
4735 39.2
4725 37.8
4715 36.2
4705 31
4695 30.5
4685 37.7
4675 51.4
4665 54.5
4655 41.6
4645 36.2
4635 38.4
4625 36.5
4615 33.4
4605 39.7
4595 48.3
4585 42.7
4575 32.5
4565 34.7
4555 42.1
4545 40.4
4535 31.6
4525 22.7
4515 19.4
4505 21.9
4495 29.4
4485 40.5
4475 53.9
4465 61.6
4455 48.4
4445 34.2
4435 31.2
4425 24.1
4415 14.1
4405 14
4395 20.3
4385 26
4375 31.7
4365 33.1
4355 27.5
4345 27.7
4335 38.8
4325 49.4
4315 49.5
4305 42.1
4295 35.9
4285 37.1
4275 42.5
4265 43.9
4255 38.9
4245 31.9
4235 27
4225 27
4215 35.2
4205 49.7
4195 55.1
4185 48.7
4175 49.7
4165 47.4
4155 31.9
4145 24.5
4135 31.4
4125 44.2
4115 54
4105 49.1
4095 32.5
4085 22.9
4075 23.2
4065 27.3
4055 35.1
4045 46.9
4035 59.4
4025 64.9
4015 60.4
4005 54.3
3995 43.7
3985 32.3
3975 28
3965 30.4
3955 41.8
3945 54.1
3935 47.9
3925 39.4
3915 40.6
3905 39.7
3895 36.4
3885 36.5
3875 36.9
3865 37.3
3855 40.4
3845 36.6
3835 24.1
3825 17.5
3815 19.4
3805 29.4
3795 48.2
3785 54.7
3775 43.4
3765 40.2
3755 49.1
3745 58.8
3735 51
3725 38.8
3715 38.1
3705 36.6
3695 26.3
3685 21.3
3675 29.5
3665 43.2
3655 45.1
3645 29.7
3635 18.4
3625 22.7
3615 31.7
3605 36.2
3595 37.2
3585 33.2
3575 28.5
3565 25.5
3555 23.8
3545 26.4
3535 32.7
3525 39.3
3515 46.1
3505 50.6
3495 48.4
3485 36.6
3475 21.4
3465 16.1
3455 18.1
3445 19.7
3435 26.1
3425 35.5
3415 36.1
3405 31.1
3395 26.6
3385 22.5
3375 20.5
3365 18.2
3355 15.2
3345 14.4
3335 13.2
3325 12.2
3315 15.9
3305 23.5
3295 34.3
3285 42.8
3275 34
3265 23
3255 22.6
3245 24.6
3235 29.9
3225 32.8
3215 22.9
3205 17.4
3195 26.9
3185 38.8
3175 35.1
3165 25.4
3155 25.4
3145 27.7
3135 31.9
3125 39.8
3115 38.3
3105 37.5
3095 44.6
3085 38.1
3075 26.4
3065 27.4
3055 34.3
3045 39.2
3035 40.5
3025 42.3
3015 44.8
3005 41
2995 36.8
2985 39.1
2975 40.7
2965 35.6
2955 29
2945 28.7
2935 30.9
2925 29.3
2915 35
2905 46.1
2895 44.5
2885 36.7
2875 32.1
2865 28.5
2855 23.7
2845 21.5
2835 28.5
2825 38.4
2815 41.9
2805 42.3
2795 36.6
2785 25.1
2775 19
2765 16.2
2755 8.3
2745 1.6
2735 2.3
2725 3.8
2715 -0.8
2705 -3.3
2695 1.5
2685 7.5
2675 12
2665 16.1
2655 20.8
2645 29.7
2635 40.8
2625 39.2
2615 28.8
2605 29.4
2595 38.2
2585 44.8
2575 47.8
2565 51.4
2555 49.7
2545 42.8
2535 44.8
2525 52.2
2515 51.2
2505 43.4
2495 35.6
2485 33.6
2475 33.7
2465 32.4
2455 35
2445 38.2
2435 38.7
2425 44.3
2415 53.3
2405 54.5
2395 55.7
2385 60.6
2375 56.2
2365 36.9
2355 16.1
2345 6.6
2335 6.1
2325 8.4
2315 7.8
2305 3.9
2295 4
2285 10.7
2275 20.9
2265 28.8
2255 33.5
2245 41
2235 50.8
2225 54.9
2215 47.4
2205 42.1
2195 42.9
2185 38.4
2175 38.6
2165 37.3
2155 25.7
2145 23.5
2135 26.9
2125 22.8
2115 19.6
2105 22.4
2095 28.4
2085 35.5
2075 36.8
2065 33.4
2055 31.9
2045 30.9
2035 34
2025 40.7
2015 39.8
2005 30.1
1995 23
1985 24.3
1975 30.2
1965 34.6
1955 32.6
1945 28.6
1935 26.8
1925 25.1
1915 29.2
1905 32.5
1895 28.3
1885 24
1875 19.8
1865 18.7
1855 26
1845 33.8
1835 29.5
1825 18.2
1815 14.4
1805 20
1795 26.9
1785 29
1775 29.5
1765 34.1
1755 39.7
1745 38.3
1735 33.5
1725 29.4
1715 23.5
1705 17.4
1695 12.6
1685 14.8
1675 25.9
1665 35.3
1655 42.7
1645 47.1
1635 37.7
1625 28.6
1615 25.4
1605 24.5
1595 28.5
1585 34.6
1575 34.4
1565 29.4
1555 27
1545 24.6
1535 18.9
1525 12.9
1515 11.5
1505 16.6
1495 21.7
1485 23.2
1475 26.4
1465 31.4
1455 34.4
1445 37.4
1435 39.5
1425 32.5
1415 21.4
1405 18.9
1395 21.5
1385 23.6
1375 27.5
1365 29.7
1355 25.5
1345 21.5
1335 22
1325 23.5
1315 21.1
1305 14.4
1295 8
1285 5.6
1275 5.6
1265 5.1
1255 7.4
1245 11.1
1235 10.4
1225 11
1215 18.7
1205 28.7
1195 29.2
1185 18.1
1175 8.9
