"iozone -Rab C:\tmp\iozone_Magellan_mtu_fix_1_A.wks -i 0 -i 1 -+u -f \\172.16.48.85\test\iozone_temp1.tst -y 64k -q 64k -n 64m -g 1G -z ",,,,,
" ",,,,,
"The top row is records sizes, the left column is file sizes",,,,,
"Writer Report",,,,,
,64,64,64,64,64
65536,16352,16099,18284,16918,17472
131072,13785,16315,13007,13149,14923
262144,14713,13458,14422,12959,14220
524288,15019,14584,14371,12744,14242
1048576,14124,13566,13084,14041,13688
"Re-writer Report",,,,,
,64,64,64,64,64
65536,26594,28216,30981,22945,23390
131072,20965,20341,21381,18567,22293
262144,22620,18527,18845,18798,18740
524288,19737,17191,17042,17122,18009
1048576,16775,16574,19458,18233,14698
"Reader Report",,,,,
,64,64,64,64,64
65536,19454,21003,20546,19439,11755
131072,20784,20872,20750,19855,20917
262144,15052,20625,19573,20772,20956
524288,16263,15446,16203,15152,16162
1048576,14870,15989,15794,15808,15994
"Re-reader Report",,,,,
,64,64,64,64,64
65536,715251,693467,698262,699797,692035
131072,824625,844849,792624,813154,705615
262144,1055757,1091165,1047297,1031635,1039331
524288,1283521,1324543,1295961,1347998,1371205
1048576,1457318,1475752,1468920,1419859,1425892
,,,,,
"Writer CPU utilization report (Zero values should be ignored)",,,,,
,64,64,64,64,64
65536,8.9286527633667,8.00364017486572,4.1859884262085,6.72540473937988,10.4276180267334
131072,8.69410991668701,7.40874481201172,6.9223952293396,5.36158037185669,6.32958602905273
262144,5.50976514816284,7.46813154220581,6.12514925003052,6.34743595123291,6.75343132019043
524288,4.07271385192871,3.2038402557373,5.7021017074585,5.76050901412964,6.35716581344605
1048576,5.7296314239502,5.84206581115723,4.8935341835022,5.46412372589111,6.54621648788452
"Re-writer CPU utilization report (Zero values should be ignored)",,,,,
,64,64,64,64,64
65536,9.74202823638916,9.18986701965332,7.99554204940796,7.06852197647095,2.28092694282532
131072,6.83418416976929,7.56494522094727,9.40092277526856,5.60423517227173,3.55352830886841
262144,4.62270641326904,6.03613710403442,6.54332256317139,6.67699003219605,3.99120283126831
524288,2.2211217880249,1.54186654090881,5.52161979675293,3.4846363067627,2.57941269874573
1048576,3.16786551475525,3.20322561264038,2.51436638832092,3.47792315483093,2.53273630142212
"Reader CPU utilization report (Zero values should be ignored)",,,,,
,64,64,64,64,64
65536,7.40119504928589,3.99113941192627,3.42629671096802,4.16799926757813,2.23975896835327
131072,4.21423196792603,3.48411917686462,4.69731330871582,4.49461936950684,3.46921539306641
262144,2.15267491340637,4.67149162292481,5.0154013633728,3.83340454101562,3.11239385604858
524288,4.64574098587036,2.89784646034241,3.28377079963684,2.84264731407166,4.47708892822266
1048576,2.28129529953003,2.9775755405426,2.98932266235352,2.095134973526,3.19325351715088
"Re-reader CPU utilization report (Zero values should be ignored)",,,,,
,64,64,64,64,64
65536,98.3454742431641,94.9556427001953,95.6205444335938,94.5581588745117,94.6037673950195
131072,84.5106430053711,96.9263229370117,100,100,98.0024566650391
262144,97.2215270996094,100,96.5741729736328,95.1733245849609,95.570442199707
524288,99.7650756835938,99.3128509521484,97.215461730957,100,98.5759506225586
1048576,99.6571426391602,98.7926788330078,98.5480270385742,93.5089263916016,93.0849685668945
